Year,Series,Match_Number,Venue,Home_Team,Away_Team,Toss_Winner,Toss_Decision,Result,Winning_Team,Player_of_Match,Home_Score,Away_Score,Home_Team_Form,Away_Team_Form,Venue_Type,Pitch_Condition,Weather
2001,Ashes,1,Edgbaston,England,Australia,Australia,Bat,Australia won by 118 runs,Australia,Shane Warne,294,279,Good,Excellent,Traditional,Seaming,Overcast
2001,Ashes,2,Lord's,England,Australia,England,Bat,Australia won by 8 wickets,Australia,Glenn McGrath,187,401,Good,Excellent,Traditional,Seaming,Sunny
2001,Ashes,3,Trent Bridge,England,Australia,Australia,Bat,Australia won by 7 wickets,Australia,Mark Waugh,190,447,Good,Excellent,Traditional,Seaming,Overcast
2001,Ashes,4,Headingley,England,Australia,England,Bat,Australia won by an innings and 25 runs,Australia,Adam Gilchrist,309,447,Good,Excellent,Traditional,Seaming,Sunny
2001,Ashes,5,The Oval,England,Australia,Australia,Bat,Australia won by an innings and 25 runs,Australia,Shane Warne,432,641,Good,Excellent,Traditional,Seaming,Sunny
2002,Ashes,1,Brisbane,Australia,England,Australia,Bat,Australia won by 384 runs,Australia,Ricky Ponting,492,79,Excellent,Good,Modern,Hard,Sunny
2002,Ashes,2,Adelaide,Australia,England,England,Bat,Australia won by an innings and 51 runs,Australia,Shane Warne,552,196,Excellent,Good,Modern,Hard,Sunny
2002,Ashes,3,Perth,Australia,England,Australia,Bat,Australia won by an innings and 48 runs,Australia,Justin Langer,456,185,Excellent,Good,Modern,Hard,Sunny
2002,Ashes,4,Melbourne,Australia,England,Australia,Bat,Australia won by 5 wickets,Australia,Steve Waugh,551,387,Excellent,Good,Modern,Hard,Sunny
2002,Ashes,5,Sydney,Australia,England,England,Bat,Australia won by 225 runs,Australia,Shane Warne,452,184,Excellent,Good,Modern,Hard,Sunny
2005,Ashes,1,Lord's,England,Australia,Australia,Bat,Australia won by 239 runs,Australia,Glenn McGrath,190,384,Good,Excellent,Traditional,Seaming,Overcast
2005,Ashes,2,Edgbaston,England,Australia,England,Bat,England won by 2 runs,England,Andrew Flintoff,407,308,Good,Excellent,Traditional,Seaming,Overcast
2005,Ashes,3,Old Trafford,England,Australia,Australia,Bat,Match Drawn,Draw,Shane Warne,444,302,Good,Excellent,Traditional,Seaming,Overcast
2005,Ashes,4,Trent Bridge,England,Australia,England,Bat,England won by 3 wickets,England,Andrew Flintoff,477,218,Good,Excellent,Traditional,Seaming,Overcast
2005,Ashes,5,The Oval,England,Australia,Australia,Bat,Match Drawn,Draw,Kevin Pietersen,373,367,Good,Excellent,Traditional,Seaming,Sunny
2006,Ashes,1,Brisbane,Australia,England,Australia,Bat,Australia won by 277 runs,Australia,Ricky Ponting,602,157,Excellent,Good,Modern,Hard,Sunny
2006,Ashes,2,Adelaide,Australia,England,England,Bat,Australia won by 6 wickets,Australia,Ricky Ponting,513,551,Excellent,Good,Modern,Hard,Sunny
2006,Ashes,3,Perth,Australia,England,Australia,Bat,Australia won by 206 runs,Australia,Adam Gilchrist,244,350,Excellent,Good,Modern,Hard,Sunny
2006,Ashes,4,Melbourne,Australia,England,Australia,Bat,Australia won by an innings and 99 runs,Australia,Shane Warne,419,161,Excellent,Good,Modern,Hard,Sunny
2006,Ashes,5,Sydney,Australia,England,England,Bat,Australia won by 10 wickets,Australia,Stuart Clark,393,291,Excellent,Good,Modern,Hard,Sunny
2009,Ashes,1,Cardiff,England,Australia,Australia,Bat,Match Drawn,Draw,Paul Collingwood,435,674,Good,Excellent,Modern,Hard,Overcast
2009,Ashes,2,Lord's,England,Australia,England,Bat,England won by 115 runs,England,Andrew Strauss,425,215,Good,Excellent,Traditional,Seaming,Sunny
2009,Ashes,3,Edgbaston,England,Australia,Australia,Bat,Match Drawn,Draw,Michael Clarke,376,263,Good,Excellent,Traditional,Seaming,Overcast
2009,Ashes,4,Headingley,England,Australia,England,Bat,Australia won by an innings and 80 runs,Australia,Stuart Clark,102,445,Good,Excellent,Traditional,Seaming,Overcast
2009,Ashes,5,The Oval,England,Australia,England,Bat,England won by 197 runs,England,Stuart Broad,332,160,Good,Excellent,Traditional,Seaming,Sunny
2010,Ashes,1,Brisbane,Australia,England,Australia,Bat,Match Drawn,Draw,Alastair Cook,481,260,Good,Good,Modern,Hard,Sunny
2010,Ashes,2,Adelaide,Australia,England,England,Bat,England won by an innings and 71 runs,England,Kevin Pietersen,245,620,Good,Good,Modern,Hard,Sunny
